date,name,size,type,price
2015-08-14,veggie_veg,L,veggie,20.25
2015-04-29,veggie_veg,M,veggie,16.0
2015-12-18,veggie_veg,M,veggie,16.0
2015-02-25,veggie_veg,L,veggie,20.25
2015-03-18,veggie_veg,L,veggie,20.25
2015-04-29,veggie_veg,M,veggie,16.0
2015-11-27,veggie_veg,L,veggie,20.25
2015-06-26,veggie_veg,S,veggie,12.0
2015-02-25,veggie_veg,S,veggie,12.0
2015-04-29,veggie_veg,M,veggie,16.0
2015-09-12,veggie_veg,S,veggie,12.0
2015-09-12,veggie_veg,S,veggie,12.0
2015-01-20,veggie_veg,M,veggie,16.0
2015-01-20,veggie_veg,S,veggie,12.0
2015-10-20,veggie_veg,M,veggie,16.0
2015-01-20,veggie_veg,M,veggie,16.0
2015-06-26,veggie_veg,L,veggie,20.25
2015-04-29,veggie_veg,L,veggie,20.25
2015-09-12,veggie_veg,L,veggie,20.25
2015-02-02,veggie_veg,L,veggie,20.25
2015-11-27,veggie_veg,S,veggie,12.0
2015-01-20,veggie_veg,S,veggie,12.0
2015-02-24,veggie_veg,M,veggie,16.0
2015-11-27,veggie_veg,S,veggie,12.0
2015-02-24,veggie_veg,S,veggie,12.0
2015-04-28,veggie_veg,M,veggie,16.0
2015-10-20,veggie_veg,S,veggie,12.0
2015-01-09,veggie_veg,S,veggie,12.0
2015-12-23,veggie_veg,S,veggie,12.0
2015-06-25,veggie_veg,L,veggie,20.25
2015-02-25,veggie_veg,M,veggie,16.0
2015-10-20,veggie_veg,L,veggie,20.25
2015-02-25,veggie_veg,M,veggie,16.0
2015-02-25,veggie_veg,L,veggie,20.25
2015-06-24,veggie_veg,M,veggie,16.0
2015-09-12,veggie_veg,L,veggie,20.25
2015-06-24,veggie_veg,S,veggie,12.0
2015-11-16,veggie_veg,M,veggie,16.0
2015-10-20,veggie_veg,M,veggie,16.0
2015-06-25,veggie_veg,L,veggie,20.25
2015-06-25,veggie_veg,M,veggie,16.0
2015-09-12,veggie_veg,M,veggie,16.0
2015-10-20,veggie_veg,L,veggie,20.25
2015-10-20,veggie_veg,S,veggie,12.0
2015-06-25,veggie_veg,S,veggie,12.0
2015-09-12,veggie_veg,M,veggie,16.0
2015-06-25,veggie_veg,S,veggie,12.0
2015-09-12,veggie_veg,L,veggie,20.25
2015-09-12,veggie_veg,L,veggie,20.25
2015-06-25,veggie_veg,M,veggie,16.0
2015-02-25,veggie_veg,L,veggie,20.25
2015-03-18,veggie_veg,M,veggie,16.0
2015-11-27,veggie_veg,M,veggie,16.0
2015-09-12,veggie_veg,S,veggie,12.0
2015-06-27,veggie_veg,L,veggie,20.25
2015-11-27,veggie_veg,L,veggie,20.25
2015-05-01,veggie_veg,L,veggie,20.25
2015-11-15,veggie_veg,M,veggie,16.0
2015-09-11,veggie_veg,M,veggie,16.0
2015-11-15,veggie_veg,S,veggie,12.0
2015-06-28,veggie_veg,M,veggie,16.0
2015-06-28,veggie_veg,S,veggie,12.0
2015-02-23,veggie_veg,S,veggie,12.0
2015-06-28,veggie_veg,L,veggie,20.25
2015-09-10,veggie_veg,M,veggie,16.0
2015-03-18,veggie_veg,S,veggie,12.0
2015-06-28,veggie_veg,M,veggie,16.0
2015-10-22,veggie_veg,L,veggie,20.25
2015-12-10,veggie_veg,L,veggie,20.25
2015-02-23,veggie_veg,S,veggie,12.0
2015-04-27,veggie_veg,M,veggie,16.0
2015-01-20,veggie_veg,S,veggie,12.0
2015-06-29,veggie_veg,M,veggie,16.0
2015-01-09,veggie_veg,L,veggie,20.25
2015-06-29,veggie_veg,M,veggie,16.0
2015-04-27,veggie_veg,L,veggie,20.25
2015-09-10,veggie_veg,L,veggie,20.25
2015-04-27,veggie_veg,M,veggie,16.0
2015-02-23,veggie_veg,L,veggie,20.25
2015-10-22,veggie_veg,M,veggie,16.0
2015-10-22,veggie_veg,L,veggie,20.25
2015-10-22,veggie_veg,M,veggie,16.0
2015-06-28,veggie_veg,S,veggie,12.0
2015-10-21,veggie_veg,S,veggie,12.0
2015-06-27,veggie_veg,L,veggie,20.25
2015-11-15,veggie_veg,L,veggie,20.25
2015-06-27,veggie_veg,M,veggie,16.0
2015-01-29,veggie_veg,L,veggie,20.25
2015-02-24,veggie_veg,L,veggie,20.25
2015-12-24,veggie_veg,L,veggie,20.25
2015-09-11,veggie_veg,L,veggie,20.25
2015-10-21,veggie_veg,L,veggie,20.25
2015-09-11,veggie_veg,M,veggie,16.0
2015-06-27,veggie_veg,S,veggie,12.0
2015-04-28,veggie_veg,L,veggie,20.25
2015-10-21,veggie_veg,L,veggie,20.25
2015-04-28,veggie_veg,M,veggie,16.0
2015-04-28,veggie_veg,S,veggie,12.0
2015-06-27,veggie_veg,L,veggie,20.25
2015-06-27,veggie_veg,S,veggie,12.0
2015-09-11,veggie_veg,L,veggie,20.25
2015-04-28,veggie_veg,S,veggie,12.0
2015-04-28,veggie_veg,M,veggie,16.0
2015-04-28,veggie_veg,L,veggie,20.25
2015-09-11,veggie_veg,L,veggie,20.25
2015-09-11,veggie_veg,M,veggie,16.0
2015-03-18,veggie_veg,M,veggie,16.0
2015-12-24,veggie_veg,S,veggie,12.0
2015-06-27,veggie_veg,M,veggie,16.0
2015-06-27,veggie_veg,M,veggie,16.0
2015-05-01,veggie_veg,L,veggie,20.25
2015-01-10,veggie_veg,L,veggie,20.25
